	Green	Pink	Brown	S1	S2
denovo16690	0	0	0	0	1
denovo16691	0	1	0	0	0
denovo5570	0	0	1	0	0
denovo5571	0	1	0	0	0
denovo5572	0	1	0	0	0
denovo5573	0	1	0	0	0
denovo5574	0	0	1	0	0
denovo5575	0	0	0	1	0
denovo5576	0	0	1	0	0
denovo5577	0	0	1	0	0
denovo5578	0	0	1	0	0
denovo5579	0	0	0	1	0
denovo21658	1	19	5	0	0
denovo9405	0	0	0	1	0
denovo9406	0	0	0	1	0
denovo9407	0	0	1	0	0
denovo9400	0	0	0	1	0
denovo9401	0	0	0	1	0
denovo9402	0	0	0	1	0
denovo9403	0	0	1	0	0
denovo21650	0	1	0	0	0
denovo21651	0	1	0	0	0
denovo21652	4	0	0	0	0
denovo21653	0	0	0	1	0
denovo9408	0	1	0	0	0
denovo21655	1	0	0	0	0
denovo21656	0	0	0	1	0
denovo21657	0	0	0	1	0
denovo8243	0	1	0	0	0
denovo8242	0	0	0	1	0
denovo8249	0	0	0	1	0
denovo20072	1	0	0	0	0
denovo2711	0	1	0	0	0
denovo2710	0	0	0	5	2
denovo2713	0	0	0	1	0
denovo2712	0	0	0	0	1
denovo2715	0	0	0	1	0
denovo2714	0	0	0	1	0
denovo2717	0	0	2	0	0
denovo2716	0	0	1	0	0
denovo2719	0	0	0	1	0
denovo2718	0	1	0	0	0
denovo6001	0	0	0	2	1
denovo6000	0	0	1	0	0
denovo6003	1	0	0	0	0
denovo6002	0	0	1	0	0
denovo6005	0	1	0	0	0
denovo6004	1	0	0	0	0
denovo6007	0	0	0	1	0
denovo6006	1	0	0	0	0
denovo6009	0	1	0	0	0
denovo6008	0	0	2	0	0
denovo24989	0	0	1	0	0
denovo24988	0	0	1	0	0
denovo18979	0	2	4	0	1
denovo18978	0	0	0	0	1
denovo24983	0	2	1	0	0
denovo24982	0	0	0	1	0
denovo18977	1	0	0	0	0
denovo17708	0	0	1	0	0
denovo24987	0	0	0	1	0
denovo24986	1	0	0	0	0
denovo24985	0	0	1	0	0
denovo24984	0	0	0	0	1
denovo4719	0	0	0	0	1
denovo4718	3	0	0	0	0
denovo4713	0	0	0	0	1
denovo4712	0	0	0	0	1
denovo4711	0	1	0	0	0
denovo4710	0	0	0	1	0
denovo4717	0	2	0	3	1
denovo4716	0	0	0	1	1
denovo4715	0	0	1	0	0
denovo4714	0	0	1	0	0
denovo7068	0	1	0	0	0
denovo7069	0	1	0	0	0
denovo7060	0	1	0	0	0
denovo7061	1	0	0	0	0
denovo7062	0	1	0	0	0
denovo7063	1	0	0	0	0
denovo7064	0	0	1	0	0
denovo7065	0	0	1	0	0
denovo7066	0	0	0	0	1
denovo7067	0	1	0	0	0
denovo25736	0	0	0	0	1
denovo25738	0	0	1	0	0
denovo6823	0	0	1	0	0
denovo6822	0	1	0	0	0
denovo6821	0	0	0	1	0
denovo6820	0	0	0	0	1
denovo6827	0	1	0	0	0
denovo6826	0	0	1	0	0
denovo6825	0	0	0	1	0
denovo6824	0	1	0	0	0
denovo6829	0	0	0	0	1
denovo6828	0	1	0	0	0
denovo19266	1	0	0	0	0
denovo19267	0	1	0	0	0
denovo19264	2	0	0	0	0
denovo19265	0	1	0	0	0
denovo19262	0	0	1	0	0
denovo19263	0	0	0	0	2
denovo19260	0	0	0	1	0
denovo19261	1	0	0	0	0
denovo19268	0	0	1	0	0
denovo19269	0	0	1	0	0
denovo11791	0	3	2	0	0
denovo11797	0	2	0	0	0
denovo25162	0	2	0	0	0
denovo25163	1	0	0	0	0
denovo25160	1	0	0	0	0
denovo25885	0	0	0	1	0
denovo25161	0	0	0	1	0
denovo25884	0	0	0	1	0
